BusinessEntityID;TotalPurchaseYTD;DateFirstPurchase;BirthDate;MaritalStatus;YearlyIncome;Gender;TotalChildren;NumberChildrenAtHome;Education;Occupation;HomeOwnerFlag;NumberCarsOwned;etlloadid;etlloaddate
2;0.0;;;;;;;;;;;;12371;07-11-2018
9;0.0;;;;;;;;;;;;12371;07-11-2018
20;0.0;;;;;;;;;;;;12371;07-11-2018
27;0.0;;;;;;;;;;;;12371;07-11-2018
34;0.0;;;;;;;;;;;;12371;07-11-2018
45;0.0;;;;;;;;;;;;12371;07-11-2018
52;0.0;;;;;;;;;;;;12371;07-11-2018
59;0.0;;;;;;;;;;;;12371;07-11-2018
70;0.0;;;;;;;;;;;;12371;07-11-2018
77;0.0;;;;;;;;;;;;12371;07-11-2018
84;0.0;;;;;;;;;;;;12371;07-11-2018
95;0.0;;;;;;;;;;;;12371;07-11-2018
102;0.0;;;;;;;;;;;;12371;07-11-2018
109;0.0;;;;;;;;;;;;12371;07-11-2018
120;0.0;;;;;;;;;;;;12371;07-11-2018
127;0.0;;;;;;;;;;;;12371;07-11-2018
134;0.0;;;;;;;;;;;;12371;07-11-2018
145;0.0;;;;;;;;;;;;12371;07-11-2018
152;0.0;;;;;;;;;;;;12371;07-11-2018
159;0.0;;;;;;;;;;;;12371;07-11-2018
170;0.0;;;;;;;;;;;;12371;07-11-2018
177;0.0;;;;;;;;;;;;12371;07-11-2018
184;0.0;;;;;;;;;;;;12371;07-11-2018
188;0.0;;;;;;;;;;;;12371;07-11-2018
195;0.0;;;;;;;;;;;;12371;07-11-2018
202;0.0;;;;;;;;;;;;12371;07-11-2018
209;0.0;;;;;;;;;;;;12371;07-11-2018
213;0.0;;;;;;;;;;;;12371;07-11-2018
220;0.0;;;;;;;;;;;;12371;07-11-2018
227;0.0;;;;;;;;;;;;12371;07-11-2018
234;0.0;;;;;;;;;;;;12371;07-11-2018
238;0.0;;;;;;;;;;;;12371;07-11-2018
245;0.0;;;;;;;;;;;;12371;07-11-2018
252;0.0;;;;;;;;;;;;12371;07-11-2018
263;0.0;;;;;;;;;;;;12371;07-11-2018
270;0.0;;;;;;;;;;;;12371;07-11-2018
277;0.0;;;;;;;;;;;;12371;07-11-2018
288;0.0;;;;;;;;;;;;12371;07-11-2018
295;-7948.603;;;;;;;;;;;;12371;07-11-2018
313;-2569.9404;;;;;;;;;;;;12371;07-11-2018
327;-1712.49;;;;;;;;;;;;12371;07-11-2018
345;-4392.207;;;;;;;;;;;;12371;07-11-2018
363;-1298.616;;;;;;;;;;;;12371;07-11-2018
377;-8648.19;;;;;;;;;;;;12371;07-11-2018
395;0.0;;;;;;;;;;;;12371;07-11-2018
413;-8929.56;;;;;;;;;;;;12371;07-11-2018
427;-5771.553;;;;;;;;;;;;12371;07-11-2018
445;-729.438;;;;;;;;;;;;12371;07-11-2018
463;-1274.7642;;;;;;;;;;;;12371;07-11-2018
477;-11792.012;;;;;;;;;;;;12371;07-11-2018
495;-5174.4766;;;;;;;;;;;;12371;07-11-2018
513;-647.988;;;;;;;;;;;;12371;07-11-2018
527;-838.9178;;;;;;;;;;;;12371;07-11-2018
545;-2768.9177;;;;;;;;;;;;12371;07-11-2018
563;-4138.8613;;;;;;;;;;;;12371;07-11-2018
577;-127.8;;;;;;;;;;;;12371;07-11-2018
595;-7830.498;;;;;;;;;;;;12371;07-11-2018
613;-7514.436;;;;;;;;;;;;12371;07-11-2018
627;-4672.522;;;;;;;;;;;;12371;07-11-2018
645;0.0;;;;;;;;;;;;12371;07-11-2018
663;-2930.8313;;;;;;;;;;;;12371;07-11-2018
677;0.0;;;;;;;;;;;;12371;07-11-2018
681;-2235.186;;;;;;;;;;;;12371;07-11-2018
695;-5502.821;;;;;;;;;;;;12371;07-11-2018
713;-838.9178;;;;;;;;;;;;12371;07-11-2018
727;-7983.5737;;;;;;;;;;;;12371;07-11-2018
731;-6705.4795;;;;;;;;;;;;12371;07-11-2018
745;-13675.892;;;;;;;;;;;;12371;07-11-2018
763;-3785.6497;;;;;;;;;;;;12371;07-11-2018
781;-728.161;;;;;;;;;;;;12371;07-11-2018
795;-5938.434;;;;;;;;;;;;12371;07-11-2018
813;-44002.3;;;;;;;;;;;;12371;07-11-2018
831;-18730.584;;;;;;;;;;;;12371;07-11-2018
845;-12493.845;;;;;;;;;;;;12371;07-11-2018
863;-5934.4565;;;;;;;;;;;;12371;07-11-2018
881;-11977.365;;;;;;;;;;;;12371;07-11-2018
895;-8697.475;;;;;;;;;;;;12371;07-11-2018
913;-5505.617;;;;;;;;;;;;12371;07-11-2018
